gene,freq,component,cell,role
IL6,101,secreted,Cancer-Associated Fibroblasts (CAFs),Immunosuppressive
TGFBI,51,secreted,Cancer-Associated Fibroblasts (CAFs),Immunosuppressive
FGF2,98,secreted,Cancer-Associated Fibroblasts (CAFs),Immunosuppressive
CXCL12,90,secreted,Cancer-Associated Fibroblasts (CAFs),Immunosuppressive
MMP2,72,secreted,Cancer-Associated Fibroblasts (CAFs),Immunosuppressive
VEGFA,65,secreted,Cancer-Associated Fibroblasts (CAFs),Immunosuppressive
MMP9,56,secreted,Cancer-Associated Fibroblasts (CAFs),Immunosuppressive
FAP,95,surface,Cancer-Associated Fibroblasts (CAFs),Immunosuppressive
THY1,101,surface,Cancer-Associated Fibroblasts (CAFs),Immunosuppressive
CD44,101,surface,Cancer-Associated Fibroblasts (CAFs),Immunosuppressive
PDGFRA,75,surface,Cancer-Associated Fibroblasts (CAFs),Immunosuppressive
ACTA2,64,surface,Cancer-Associated Fibroblasts (CAFs),Immunosuppressive
SNAI1,73,transfactor,Cancer-Associated Fibroblasts (CAFs),Immunosuppressive
TWIST1,82,transfactor,Cancer-Associated Fibroblasts (CAFs),Immunosuppressive
YAP1,62,transfactor,Cancer-Associated Fibroblasts (CAFs),Immunosuppressive
ZEB1,69,transfactor,Cancer-Associated Fibroblasts (CAFs),Immunosuppressive
GZMB,101,secreted,CD8+ T cells,Immunostimulatory
CCL5,74,secreted,CD8+ T cells,Immunostimulatory
IFNG,101,secreted,CD8+ T cells,Immunostimulatory
PRF1,50,secreted,CD8+ T cells,Immunostimulatory
TNF,93,secreted,CD8+ T cells,Immunostimulatory
CD8A,101,surface,CD8+ T cells,Immunostimulatory
CD8B,85,surface,CD8+ T cells,Immunostimulatory
CD44,76,surface,CD8+ T cells,Immunostimulatory
PDCD1,83,surface,CD8+ T cells,Immunostimulatory
CTLA4,55,surface,CD8+ T cells,Immunostimulatory
TBX21,99,transfactor,CD8+ T cells,Immunostimulatory
EOMES,101,transfactor,CD8+ T cells,Immunostimulatory
RUNX3,101,transfactor,CD8+ T cells,Immunostimulatory
IL1B,97,secreted,M1 macrophages,Immunostimulatory
TNF,101,secreted,M1 macrophages,Immunostimulatory
IL6,97,secreted,M1 macrophages,Immunostimulatory
IL12A,65,secreted,M1 macrophages,Immunostimulatory
CCL2,98,secreted,M1 macrophages,Immunostimulatory
CCL5,55,secreted,M1 macrophages,Immunostimulatory
NOS2,68,secreted,M1 macrophages,Immunostimulatory
CXCL10,59,secreted,M1 macrophages,Immunostimulatory
CD80,101,surface,M1 macrophages,Immunostimulatory
CD86,101,surface,M1 macrophages,Immunostimulatory
HLA-DRA,88,surface,M1 macrophages,Immunostimulatory
FCGR1A,96,surface,M1 macrophages,Immunostimulatory
CD274,55,surface,M1 macrophages,Immunostimulatory
CD40,56,surface,M1 macrophages,Immunostimulatory
